# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# 1-cover (e = 10, f = 9, u = 14) of Q_99
#   excess d-diags: { 0 }
#   excess s-diags: { -48, -42, 90 }

# $D = (c_i, r_i)$ with $(r_i) = -49, -47, \ldots, 47, 49$ and $(c_i) = 15$, $21$, $-5$, $29$, $35$, $-3$, $19$, $-27$, $-33$, $-43$, $31$, $-15$, $23$, $-23$, $-49$, $-29$, $27$, $-39$, $-45$, $7$, $43$, $-1$, $-11$, $11$, $1$, $-13$, $13$, $-35$, $5$, $-47$, $-7$, $45$, $-37$, $37$, $47$, $25$, $39$, $49$, $-21$, $9$, $-41$, $17$, $-9$, $33$, $3$, $-19$, $-25$, $-31$, $-17$, $41$ .


dim 99 99

(0, 64)
(2, 70)
(4, 44)
(6, 78)
(8, 84)
(10, 46)
(12, 68)
(14, 22)
(16, 16)
(18, 6)
(20, 80)
(22, 34)
(24, 72)
(26, 26)
(28, 0)
(30, 20)
(32, 76)
(34, 10)
(36, 4)
(38, 56)
(40, 92)
(42, 48)
(44, 38)
(46, 60)
(48, 50)
(50, 36)
(52, 62)
(54, 14)
(56, 54)
(58, 2)
(60, 42)
(62, 94)
(64, 12)
(66, 86)
(68, 96)
(70, 74)
(72, 88)
(74, 98)
(76, 28)
(78, 58)
(80, 8)
(82, 66)
(84, 40)
(86, 82)
(88, 52)
(90, 30)
(92, 24)
(94, 18)
(96, 32)
(98, 90)
