# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 0-cover (e = 22, f = 20, u = 25) of Q_189
#   excess s-diags: { -178, -172, 174, 176 }

# $D = (c_i, r_i)$ with $(r_i) = -94, -92, \ldots, 92, 94$ and $(c_i) = -42$, $-86$, $-82$, $48$, $-26$, $24$, $-58$, $36$, $26$, $0$, $6$, $56$, $70$, $-12$, $-30$, $80$, $50$, $-32$, $62$, $-68$, $-62$, $-48$, $-70$, $-80$, $42$, $88$, $-46$, $52$, $-94$, $-72$, $-50$, $92$, $-74$, $14$, $74$, $-14$, $-8$, $76$, $20$, $68$, $12$, $-22$, $-16$, $22$, $16$, $30$, $66$, $72$, $-20$, $-76$, $-28$, $-18$, $28$, $-6$, $-78$, $18$, $-24$, $84$, $8$, $64$, $-4$, $-10$, $78$, $-52$, $-90$, $-64$, $54$, $60$, $-66$, $-92$, $90$, $-84$, $82$, $-60$, $-34$, $-88$, $58$, $-36$, $34$, $-56$, $-38$, $44$, $-2$, $4$, $10$, $-40$, $2$, $40$, $94$, $-44$, $-54$, $86$, $38$, $32$, $46$ .


dim 189 189

(0, 52)
(2, 8)
(4, 12)
(6, 142)
(8, 68)
(10, 118)
(12, 36)
(14, 130)
(16, 120)
(18, 94)
(20, 100)
(22, 150)
(24, 164)
(26, 82)
(28, 64)
(30, 174)
(32, 144)
(34, 62)
(36, 156)
(38, 26)
(40, 32)
(42, 46)
(44, 24)
(46, 14)
(48, 136)
(50, 182)
(52, 48)
(54, 146)
(56, 0)
(58, 22)
(60, 44)
(62, 186)
(64, 20)
(66, 108)
(68, 168)
(70, 80)
(72, 86)
(74, 170)
(76, 114)
(78, 162)
(80, 106)
(82, 72)
(84, 78)
(86, 116)
(88, 110)
(90, 124)
(92, 160)
(94, 166)
(96, 74)
(98, 18)
(100, 66)
(102, 76)
(104, 122)
(106, 88)
(108, 16)
(110, 112)
(112, 70)
(114, 178)
(116, 102)
(118, 158)
(120, 90)
(122, 84)
(124, 172)
(126, 42)
(128, 4)
(130, 30)
(132, 148)
(134, 154)
(136, 28)
(138, 2)
(140, 184)
(142, 10)
(144, 176)
(146, 34)
(148, 60)
(150, 6)
(152, 152)
(154, 58)
(156, 128)
(158, 38)
(160, 56)
(162, 138)
(164, 92)
(166, 98)
(168, 104)
(170, 54)
(172, 96)
(174, 134)
(176, 188)
(178, 50)
(180, 40)
(182, 180)
(184, 132)
(186, 126)
(188, 140)
