# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 0-cover (e = 13, f = 11, u = 17) of Q_121
#   excess s-diags: { -98, -28, 28, 98 }

# $D = (c_i, r_i)$ with $(r_i) = -60, -58, \ldots, 58, 60$ and $(c_i) = -30$, $20$, $-18$, $-28$, $34$, $40$, $-6$, $4$, $18$, $-20$, $-58$, $56$, $-42$, $-32$, $-26$, $44$, $30$, $-60$, $-46$, $60$, $46$, $52$, $8$, $2$, $-16$, $10$, $-8$, $-14$, $50$, $-48$, $12$, $48$, $-50$, $14$, $-12$, $-2$, $16$, $-10$, $0$, $-52$, $54$, $36$, $-38$, $-56$, $38$, $-36$, $-54$, $-24$, $26$, $-40$, $58$, $28$, $42$, $-4$, $6$, $-44$, $-22$, $24$, $-34$, $32$, $22$ .


dim 121 121

(0, 30)
(2, 80)
(4, 42)
(6, 32)
(8, 94)
(10, 100)
(12, 54)
(14, 64)
(16, 78)
(18, 40)
(20, 2)
(22, 116)
(24, 18)
(26, 28)
(28, 34)
(30, 104)
(32, 90)
(34, 0)
(36, 14)
(38, 120)
(40, 106)
(42, 112)
(44, 68)
(46, 62)
(48, 44)
(50, 70)
(52, 52)
(54, 46)
(56, 110)
(58, 12)
(60, 72)
(62, 108)
(64, 10)
(66, 74)
(68, 48)
(70, 58)
(72, 76)
(74, 50)
(76, 60)
(78, 8)
(80, 114)
(82, 96)
(84, 22)
(86, 4)
(88, 98)
(90, 24)
(92, 6)
(94, 36)
(96, 86)
(98, 20)
(100, 118)
(102, 88)
(104, 102)
(106, 56)
(108, 66)
(110, 16)
(112, 38)
(114, 84)
(116, 26)
(118, 92)
(120, 82)
