# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 0-cover (e = 13, f = 11, u = 16) of Q_117
#   excess s-diags: { -102, -52, 56, 98 }

# $D = (c_i, r_i)$ with $(r_i) = -58, -56, \ldots, 56, 58$ and $(c_i) = -44$, $-30$, $32$, $38$, $-12$, $2$, $-36$, $-22$, $0$, $42$, $-40$, $34$, $24$, $46$, $36$, $-46$, $-32$, $-28$, $-48$, $54$, $28$, $-38$, $-2$, $4$, $52$, $-4$, $14$, $50$, $-18$, $-50$, $10$, $-42$, $-6$, $8$, $-14$, $-8$, $6$, $40$, $48$, $-54$, $56$, $30$, $-56$, $-34$, $20$, $-58$, $-52$, $22$, $-16$, $58$, $44$, $-26$, $-20$, $-10$, $12$, $18$, $-24$, $26$, $16$ .


dim 117 117

(0, 14)
(2, 28)
(4, 90)
(6, 96)
(8, 46)
(10, 60)
(12, 22)
(14, 36)
(16, 58)
(18, 100)
(20, 18)
(22, 92)
(24, 82)
(26, 104)
(28, 94)
(30, 12)
(32, 26)
(34, 30)
(36, 10)
(38, 112)
(40, 86)
(42, 20)
(44, 56)
(46, 62)
(48, 110)
(50, 54)
(52, 72)
(54, 108)
(56, 40)
(58, 8)
(60, 68)
(62, 16)
(64, 52)
(66, 66)
(68, 44)
(70, 50)
(72, 64)
(74, 98)
(76, 106)
(78, 4)
(80, 114)
(82, 88)
(84, 2)
(86, 24)
(88, 78)
(90, 0)
(92, 6)
(94, 80)
(96, 42)
(98, 116)
(100, 102)
(102, 32)
(104, 38)
(106, 48)
(108, 70)
(110, 76)
(112, 34)
(114, 84)
(116, 74)
